Enrollment,Employ_Status,Place_of_work,Hours_work_per_week,Race,Gender,Pronouns,total_income,academic_level,College,mode_of_transport,reliability_of_transport,independent_stay,have_dependents,head_of_houshold,place_of_stay,permanent_address_past12,experience_of_homelessness,any_benefit_support,federal_Aid_past6,food_security_past12,not_enough_money_for_food,eat_less_cause_not_enough_money,go_hungry_because_not_enough_money_past12,expenditure_change,income_change,financial_aid_change,debt_change,Age,night_elsewhere_no_permanent_add
2,1,2,2,1,1,2,2,5,2,1,4,2,1,1,2,1,2,0,1,1,2,2,2,3,2,1,2,29,NA
2,2,2,2,1,1,2,4,4,4,1,4,2,2,2,2,1,1,0,4,2,2,2,1,3,1,3,3,23,NA
2,3,2,2,1,1,2,2,4,10,1,3,2,2,2,2,1,2,0,1,2,1,1,1,3,2,1,3,24,NA
1,2,1,2,1,1,2,3,6,3,3,4,2,2,2,2,1,1,0,2,1,2,2,2,1,2,2,2,22,NA
2,1,2,2,1,1,2,1,4,4,1,4,2,2,1,3,1,2,1,1,2,1,1,1,3,1,2,1,23,NA
1,3,2,2,4,1,2,1,4,6,1,2,2,2,2,3,1,2,1,3,2,2,1,2,1,1,2,3,23,NA
1,2,1,1,1,1,2,2,6,6,2,4,2,1,1,2,1,2,0,0,2,1,1,1,3,2,2,3,38,NA
1,3,2,2,1,3,3,4,3,6,2,4,2,2,2,2,1,1,0,3,1,2,2,2,3,2,2,3,21,NA
1,1,2,2,1,1,2,1,5,5,2,2,2,2,2,2,2,2,0,3,3,1,1,1,1,2,3,3,21,1
1,1,2,2,1,2,1,4,2,5,0,4,1,2,1,3,1,2,0,4,1,2,2,2,3,2,2,3,29,NA
1,3,2,2,6,1,2,1,4,2,1,4,2,2,2,2,1,2,0,1,1,2,2,2,2,2,2,2,24,NA
2,1,2,2,1,2,1,2,5,3,1,3,1,2,1,3,1,2,0,3,1,2,2,2,3,2,1,3,24,NA
1,1,2,2,8,1,2,1,4,6,1,1,2,1,1,2,1,2,1,1,3,1,1,1,3,3,1,3,24,NA
1,2,2,1,1,2,1,1,4,3,1,4,2,2,2,2,1,2,0,4,1,2,2,2,2,1,2,2,23,NA
1,2,2,1,1,1,2,3,4,4,1,4,2,2,2,2,1,2,0,4,1,2,2,2,2,3,2,2,22,NA
2,2,2,1,1,1,2,1,4,6,3,4,2,2,2,2,1,2,0,4,2,1,1,2,1,2,1,3,23,NA
1,2,1,2,1,2,1,4,6,5,1,4,2,2,2,2,1,2,1,4,1,2,2,2,1,2,2,2,25,NA
1,2,2,1,1,2,1,4,4,6,1,4,2,2,2,2,1,2,0,0,1,2,2,2,1,1,2,3,22,NA
